Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,,,,Guild,public?,Player name,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M. No Aff,R. Quincy,M/R Human,R. Soul Reaper,M. Soul Reaper,M. Espada,R. Captain,R. Arrancar,M. Quincy,R. Espada,M. Captain,M. Hollow,R. SZ,R. Hollow,M/R Sternritter,R. No Aff,M. Arrancar,M. Squad Zero,,,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam(3),44,kocejam3,,,,,,,,,,,"99,725,574","164,931,700","68,508,465","163,453,400","163,940,000","164,158,400","223,117,418","96,089,070",,,44,,kocejam(3),13,"142,990,503",0,5,5,7,8,0,M. Arrancar,223117418,R. SZ,"68,508,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latif,44,tazaki01,"162,590,500","58,819,550","119,400,000","162,114,900","163,943,500","139,782,887","112,123,640","162,629,000","104,013,617","136,408,349","162,552,100","164,014,800","161,598,000","161,941,900","162,876,300","163,318,400","214,045,948","161,400,000",,,44,y,Latif,14,"148,531,855",0,12,14,17,18,0,M. Arrancar,"214,045,948",R. Quincy,"58,819,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MajinKev,44,.majinkev,"221,882,370","128,167,468","60,491,199","163,829,100","163,144,500","162,357,600","138,344,862",0,"106,209,297","145,464,547","66,951,680","162,838,500","104,725,838","137,869,344","106,264,555","162,662,700","300,847,600",0,,,44,y,MajinKev,15,"129,558,398",1,7,11,14,16,2,M. Arrancar,"300,847,600",M/R Human,"60,491,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAOUSAGI,44,kalagnsarp,,,,,,"161,646,200","162,423,100","163,939,600","300,087,400","300,111,300","163,514,400","165,701,300","162,979,100","162,418,200","161,916,500","164,703,400","208,358,652","162,014,000",,,44,,MAOUSAGI,16,"187,677,935",2,13,13,13,13,0,R. Espada,300111300,M. Espada,"161,646,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memmzy..,44,memmzy,"202,395,474","138,622,849","144,644,916","119,400,000","161,472,300","128,297,847","163,839,200","163,458,800","300,077,300","235,942,835","162,075,900","86,645,177","60,020,200","161,564,000","162,622,500","163,000,000","161,741,600","120,028,540",,,44,y,Memmzy..,17,"157,547,191",1,11,15,17,18,0,M. Quincy,"300,077,300",R. SZ,"60,020,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MilkShark,45,milkshark,"300,276,200","132,885,973","161,992,300","164,083,600","164,801,200","161,775,600","163,399,500","164,194,400","300,557,700","301,444,100","164,971,400","166,010,500","164,836,099","164,396,400","164,236,200","165,733,700","301,572,700","270,620,009",,,45,y,MilkShark,18,"198,765,977",4,17,18,18,18,0,M. Arrancar,"301,572,700",R. Quincy,"132,885,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsuri,45,kimetsyaiba,"303,197,700","300,083,100","161,532,400","164,908,700","165,975,600","162,608,500","164,269,500","165,336,500","302,646,800","301,574,100","164,200,400","166,128,200","165,063,200","164,846,500","166,544,800","165,701,200","303,633,500","301,296,900",,,45,y,mitsuri,19,"210,530,422",6,18,18,18,18,0,M. Arrancar,"303,633,500",M/R Human,"161,532,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MysTE,44,myste4024,,,,,,,,,,,,,,,,,"301,377,300","302,271,100",,,44,,MysTE,20,"301,824,200",2,2,2,2,2,0,M. Squad Zero,"302,271,100",M. Arrancar,"301,377,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolanb,44,nikolanb,,,,,,,"62,934,814","52,397,546","300,000,000","47,199,660","101,082,385","110,618,653","84,100,000","119,856,548","88,502,255","161,795,600","214,957,504","145,860,969",,,44,,nikolanb,21,"124,108,828",0,3,5,8,10,0,M. Quincy,"300,000,000",R. Espada,"47,199,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nour,45,nour.db,"303,293,800","300,785,100","163,884,800","164,672,300","165,666,300","164,009,900","162,887,400","165,094,100","300,000,000","300,419,199","165,022,399","166,533,600","165,967,400","164,892,300","166,024,800","166,068,200","300,676,700","300,468,100",,,45,y,Nour,22,"210,353,689",5,18,18,18,18,0,M. No Aff,"303,293,800",R. Captain,"162,887,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OverSeer,45,unseer,"302,040,200","300,123,800","162,879,800","164,946,300","164,412,000","163,602,500","164,723,100","164,993,099","302,071,699","300,274,800","164,391,100","165,985,500","164,310,100","164,129,400","165,142,600","164,507,200","302,282,500","243,244,542",,,45,y,OverSeer,23,"206,892,236",5,18,18,18,18,0,M. Arrancar,"302,282,500",M/R Human,"162,879,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pat7res,45,pat7res,"302,466,300","277,547,339","163,221,000","164,481,800","166,585,100","162,057,300","164,658,400","165,168,800","303,562,599","263,506,181","166,448,000","166,187,900","165,378,900","165,271,500","164,486,300","165,968,700","301,446,600","234,776,310",,,45,y,pat7res,24,"203,512,168",3,18,18,18,18,0,M. Quincy,"303,562,599",M. Espada,"162,057,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom,44,phantom_requiem,"244,810,997","119,400,000","106,398,944","161,400,300","162,175,800","91,401,277","131,931,286","163,919,700","113,608,206","202,271,057","150,712,517","165,431,100","164,507,700","161,694,300","163,073,000","165,272,699","233,000,000","134,286,831",,,44,y,Phantom,25,"157,516,429",0,11,14,18,18,0,M. No Aff,"244,810,997",M. Espada,"91,401,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokushiki,44,rokushiki_3799,"300,301,300","66,533,252","161,561,600","164,078,200","162,650,600","106,581,884","145,140,064","163,697,500","191,206,885","114,010,567","69,250,284","163,828,700","111,548,759","151,575,514","104,308,296","162,080,100","189,232,766","205,819,909",,,44,y,Rokushiki,26,"151,855,899",1,10,12,16,18,0,M. No Aff,"300,301,300",R. Quincy,"66,533,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sekkan,45,.selyan,"198,296,431","150,821,828","161,967,900","162,568,300","165,749,800","162,733,000","162,642,100","164,722,200","154,050,663","300,601,300","166,236,400","165,353,900","164,046,800","164,850,400","166,648,300","165,418,200","301,209,600","258,864,250",,,45,y,Sekkan,27,"185,376,743",2,16,18,18,18,0,M. Arrancar,"301,209,600",R. Quincy,"150,821,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servant,44,Iceman#5929,"300,463,400","137,644,153","161,466,200","162,502,800","161,824,500","162,635,400","162,209,500","163,286,600","162,554,500","233,000,000","163,464,699","164,373,100","162,396,800","163,322,600","162,526,300","164,268,200","300,599,500","233,000,000",,,44,,Servant,28,"184,529,903",2,17,18,18,18,0,M. Arrancar,"300,599,500",R. Quincy,"137,644,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shideki,45,shidekix,"301,611,799","215,118,507","163,513,800","165,303,499","165,132,400","164,973,599","164,135,000","166,289,900","242,162,244","301,419,400","164,145,300","165,531,600","161,916,700","164,222,300","162,581,500","164,940,000","301,618,600","300,375,200",,,45,y,Shideki,29,"201,943,964",4,18,18,18,18,0,M. Arrancar,"301,618,600",R. SZ,"161,916,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanky,45,nawt0k,"302,105,900","162,162,800","162,378,900","165,085,799","164,702,000","162,240,499","164,136,500","165,059,400","302,284,100","288,948,877","164,023,900","165,966,500","165,172,500","165,356,199","165,196,300","164,993,000","301,709,000","261,162,148",,,45,y,Spanky,30,"199,593,573",3,18,18,18,18,0,M. Quincy,"302,284,100",R. Quincy,"162,162,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPPA60,45,aizenbanka1,"163,384,500","200,000,000","162,121,500","165,172,300","165,451,800","140,009,380","163,852,900","164,660,499",0,"300,347,900","165,554,099","165,423,800","164,897,099","164,105,100","165,251,600","165,618,900","301,377,300","258,547,369",,,44,y,STEPPA60,31,"176,432,003",2,16,17,17,17,1,M. Arrancar,"301,377,300",M. Espada,"140,009,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunna,45,Stunna,"300,376,200","191,550,211","163,809,700","164,009,700","164,638,100","162,014,600","164,671,400","165,088,100","207,195,935","301,384,600","161,831,200","165,779,800","163,697,800","165,548,200","162,166,200","165,313,200","301,434,000","195,193,076",,,45,y,Stunna,32,"192,539,001",3,18,18,18,18,0,M. Arrancar,"301,434,000",M. Captain,"161,831,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usurper,45,,"300,741,400","163,359,700","163,518,100","163,621,600","163,373,200","161,929,800","163,156,400","164,888,100","203,882,045","300,482,900","163,353,099","165,038,200","164,087,700","162,999,700","163,151,400","165,631,000","300,699,700","180,957,887",,,45,,usurper,33,"189,715,107",3,18,18,18,18,0,M. No Aff,"300,741,400",M. Espada,"161,929,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xenoAM,44,xenoam,"247,325,825","144,359,871","100,684,505","163,433,500","156,028,031","145,407,067","140,799,927","162,695,200","206,270,542","161,472,900","106,558,466","165,709,500","163,174,899","164,460,400","164,583,200","164,725,800","301,234,100","284,216,613",,,44,y,xenoAM,34,"174,618,908",1,12,16,18,18,0,M. Arrancar,"301,234,100",M/R Human,"100,684,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yozora,45,ns_yozora,"300,143,300","60,966,050","162,444,600","163,433,100","164,617,600","163,611,200","164,101,700","165,051,700","300,883,200","301,947,300","165,188,200","165,291,500","162,246,599","164,229,300","165,837,700","165,278,400","302,599,900","300,068,900",,,45,,Yozora,35,"196,552,236",5,17,17,17,18,0,M. Arrancar,"302,599,900",R. Quincy,"60,966,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
