Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,,,,Guild,public?,Discord,Score Rank,Avg Score,NM Clears,>30s left,>20s left,>10s left,VH Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,Normalized Avgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R. Arrancar,M. Arrancar,R. Hollow,M. Espada,M. Squad Zero,R. Captain,M. Human,R. No Aff,M. Soul Reaper,M. Stern Ritter,R. Squad Zero,M. Hollow,R. Stern Ritter,R. Espada,M. Quincy,R. Human,M. No Affiliation,R. Soul Reaper,M. Captain,R. Quincy,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC,45,captain_zoro_,"165,095,800","165,901,400","389,266,345","234,147,384","162,310,800","163,839,100","300,478,099","301,067,400","165,621,800","162,672,300","161,853,000","165,826,700","89,194,487","164,621,400","164,775,800","161,901,700","302,656,100","269,110,923","165,898,300","163,444,500",45,y,@captain_zoro_,30,"205,018,919",4,13,15,16,19,0,R. Hollow,"389,266,345",R. Stern Ritter,"89,194,487",0.89480,0.9786250507,0.9949413482,0.7506754005,0.4472106522,0.9652462828,0.9770962498,0.9854762126,0.9875660143,0.9004439141,0.9655919449,0.9599113628,0.9787102899,0.2804972665,0.9873942375,0.9820536866,0.9570888277,0.9898746714,0.8442621258,0.9923196743,0.9709710651,,,,,,,,,,,,,,,,,,,,,,,
GarboManV1,44,blackbirdo,"162,328,900","163,735,900","480,837,600","365,000,000","164,422,600","161,767,100","303,274,400","303,836,099","164,115,900","161,785,600","105,365,124","165,787,900","164,697,699","161,835,500","164,669,400","161,658,900","302,377,500","188,293,803","161,802,100","161,627,100",44,y,@blackbirdo,31,"213,654,996",5,10,12,12,19,0,R. Hollow,"480,837,600",R. Squad Zero,"105,365,124",0.89435,0.9346530455,0.9717129546,0.9773218093,0.7338244501,0.9850613156,0.955705927,0.9963375921,0.9966479443,0.7760690097,0.9572381794,0.3821977119,0.977741668,0.9834464739,0.9517374258,0.9810533787,0.9548276,0.9882026208,0.4889629786,0.9426274454,0.9515486204,,,,,,,,,,,,,,,,,,,,,,,
MajinKev,44,.majinkev,"162,992,100","165,175,500","161,871,400",0,"162,284,300","162,717,400","277,847,669","302,597,300","163,682,200","162,484,500","137,210,002","163,524,100","165,347,900","142,201,195","163,462,600","163,315,500","300,876,700","300,298,200","162,539,400","164,301,500",44,y,@.majinkev,32,"180,993,809",3,6,10,15,17,1,R. No Aff,"302,597,300",R. Squad Zero,"137,210,002",0.88401,0.9451927231,0.987154929,0.1878541565,-0.06565544901,0.9649976331,0.9655163632,0.8975752001,0.9925844163,0.7402489712,0.9638226462,0.7078821248,0.9212270742,0.9894999683,0.7004374093,0.9697077813,0.9702557292,0.9791953935,0.9813718486,0.9515718525,0.9801297726,,,,,,,,,,,,,,,,,,,,,,,
Ichigo :),44,ichigo___,"164,018,600","165,649,800","480,726,200","390,861,399","164,832,500","162,990,000","300,532,300","303,070,200","164,610,400","124,337,833","109,227,013","165,541,599","164,093,600","162,398,300","164,073,500","164,881,800","303,039,300","233,000,000","163,957,500","105,473,626",44,y,@ichigo___,33,"215,993,575",5,11,15,16,17,0,R. Hollow,"480,726,200",R. Squad Zero,"109,227,013",0.86840,0.9615060208,0.9922425425,0.9770460851,0.7904701177,0.9889074099,0.9683305533,0.9856867399,0.9941356303,0.8169106262,0.6044358052,0.4216940809,0.9715928912,0.9778221977,0.9589407187,0.9754510904,0.9848428829,0.9921744912,0.6855064049,0.9687752483,0.3514398167,,,,,,,,,,,,,,,,,,,,,,,
Servant,44,Iceman#5929,"164,108,100","164,961,500","209,428,703","261,000,000","161,556,200","161,677,400","300,261,200","301,510,000","161,828,599","133,930,460","136,528,761","163,848,800","164,082,900","161,645,000","161,815,000","161,537,800","300,229,999","300,504,600","162,553,100","161,678,300",44,,@Iceman#5929,34,"198,358,612",4,7,10,11,18,0,R. No Aff,"301,510,000",M. Stern Ritter,"133,930,460",0.86273,0.9629283687,0.9848594424,0.3055624038,0.5060274378,0.9581658662,0.9547799077,0.9846337345,0.9890178378,0.5871568354,0.6948097274,0.7009149267,0.9293330414,0.9777225787,0.949299211,0.9542180511,0.9536997801,0.9753141416,0.9822792522,0.9517380513,0.9520957917,,,,,,,,,,,,,,,,,,,,,,,
Latif,44,tazaki01,"164,577,700","164,052,800","164,000,001","261,000,000","161,969,200","161,621,200","301,018,099","301,561,601","165,375,500","161,583,300","162,924,600","165,431,800","68,533,890","162,694,300","164,581,700","125,130,758","216,601,386","216,774,497","164,638,200","163,523,700",44,y,@tazaki01,35,"182,746,241",2,10,13,15,18,0,R. No Aff,"301,561,601",R. Stern Ritter,"68,533,890",0.79975,0.9703913249,0.9751122056,0.1931226195,0.5060274378,0.9620410478,0.9541997261,0.9875736781,0.9891871002,0.880101568,0.9553322734,0.9708708463,0.9688518161,0.08814319444,0.9627292309,0.9802288768,0.6146363084,0.4734072087,0.6141736553,0.9770330238,0.9718174707,,,,,,,,,,,,,,,,,,,,,,,
D._.Ahmed,44,dauda0402,"164,663,800","164,707,700","216,674,506","162,289,000","162,917,400","161,629,700","241,623,948","302,636,500","162,183,400","161,883,200","101,028,070","165,761,400","162,795,600","163,447,700","161,566,300","164,305,100","235,750,000","162,371,899","163,816,400","163,417,700",44,y,@dauda0402,36,"178,790,846",1,7,11,13,19,0,R. No Aff,"302,636,500",R. Squad Zero,"101,028,070",0.79511,0.9717596395,0.9821370382,0.3234963639,0.2898152177,0.9709380145,0.954287476,0.756875189,0.9927130008,0.6164604681,0.9581576871,0.3378417283,0.9770801093,0.9657375718,0.9723720185,0.9518799254,0.9794720015,0.5883298623,0.3750016003,0.9670635219,0.9706846551,,,,,,,,,,,,,,,,,,,,,,,
Memmzy..,44,memmzy,"164,770,200","161,671,900","458,064,175","329,946,660","162,733,000","164,070,000","119,679,833","301,135,900","164,719,200","154,081,336","67,994,470","163,359,600","162,141,700","161,950,900","165,578,000","60,073,700","162,069,200","163,310,000","163,919,200","141,179,340",44,y,@memmzy,37,"182,630,543",3,6,8,11,15,0,R. Hollow,"458,064,175",R. Human,"60,073,700",0.72431,0.9734505649,0.9495733082,0.9209557041,0.6570451604,0.9692077881,0.9794799494,0.2832204164,0.9877907091,0.8258966077,0.8846548761,0,0.9171204169,0.959649639,0.9532144336,0.9895954817,0.008751547144,0.1461258963,0.3791258067,0.9683106195,0.7330246375,,,,,,,,,,,,,,,,,,,,,,,
Hyphilios,44,hyphilios,"137,253,439","145,179,418","165,165,200","162,739,400","161,945,300","131,589,408","60,012,500","164,079,100","162,621,000","161,424,800","161,878,599","164,413,200","161,861,900","129,636,319","164,678,000","161,905,700","260,496,715","155,744,446","163,391,700","162,407,400",44,y,@hyphilios,38,"156,256,914",0,4,5,9,14,0,M. No Affiliation,"260,496,715",M. Human,"60,012,500",0.69704,0.5361499181,0.7726654979,0.1960065831,0.290801754,0.961816794,0.6441660738,0.05146083502,0.5382148395,0.6526026145,0.9538390155,0.9601731692,0.9434229949,0.9570446479,0.5396192115,0.9811342307,0.9571260802,0.7368501759,0.3458650955,0.961911359,0.9598876397,,,,,,,,,,,,,,,,,,,,,,,
Zekerdan,44,zekerdan,"103,516,674","73,146,579","85,973,260","29,974,786","59,439,050","69,191,467","46,763,724","138,905,895","154,719,452","60,180,750","70,612,809","126,622,590","59,066,500","87,475,366","60,317,450","59,134,000","137,721,447","77,073,216","84,100,000","72,588,645",44,y,@zekerdan,39,"83,324,168",0,0,0,0,0,0,M. Soul Reaper,"154,719,452",M. Espada,"29,974,786",0.02412,0,0,0,0,0,0,0,0.4556412968,0,0,0.02677831581,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,@,40,#DIV/0!,0,0,0,0,0,0,#N/A,0,#N/A,0,0.00000,-1.645103088,-0.7846121112,-0.2127909094,-0.06565544901,-0.5577169832,-0.7142991408,-0.1816394424,-0.000000003280215718,-12.77854907,-0.5669740329,-0.6953940612,-3.161067341,-0.5499203048,-1.119599645,-0.567067871,-0.5507225591,-0.8265514227,-0.3388396904,-1.020242286,-0.775750489,,,,,,,,,,,,,,,,,,,,,,,
,,STATS START HERE,"103,516,674","73,146,579","85,973,260","29,974,786","59,439,050","69,191,467","46,763,724",1,"154,719,452","60,180,750","67,994,470","126,622,590","59,066,500","87,475,366","60,317,450","59,134,000","137,721,447","77,073,216","84,100,000","72,588,645",,,,,,,,,,,,,,,,,Phase,R. Arrancar,M. Arrancar,R. Hollow,M. Espada,M. Squad Zero,R. Captain,M. Human,R. No Aff,M. Soul Reaper,M. Stern Ritter,R. Squad Zero,M. Hollow,R. Stern Ritter,R. Espada,M. Quincy,R. Human,M. No Affiliation,R. Soul Reaper,M. Captain,R. Quincy,,Phase,R. Arrancar,M. Arrancar,R. Hollow,M. Espada,M. Squad Zero,R. Captain,M. Human,R. No Aff,M. Soul Reaper,M. Stern Ritter,R. Squad Zero,M. Hollow,R. Stern Ritter,R. Espada,M. Quincy,R. Human,M. No Affiliation,R. Soul Reaper,M. Captain,R. Quincy
,,,"166,440,800","166,373,000","490,000,200","486,521,599","166,014,700","166,057,700","304,217,300","304,858,000","166,827,200","166,324,500","165,772,800","166,679,500","166,475,700","165,606,300","166,684,700","166,509,300","304,343,200","304,535,400","166,531,400","166,160,800",,,,,,,,,,,,,,,,,#1 Score holder,@myste4024,@bazraeth,@myste4024,@myste4024,@myste4024,@myste4024,@kocejam,@kocejam,@kayers.j,@kocejam,@edo_tensi,@myste4024,@kocejam(44),@myste4024,@skyx222,@myste4024,@myste4024,@myste4024,@kocejam,@kimetsyaiba,,Average Score,"162,319,132","162,025,343","407,630,604","385,363,490","160,341,417","160,265,962","274,205,188","286,752,565","164,936,547","158,564,335","152,492,572","164,687,964","155,087,586","160,405,256","162,323,920","156,522,816","289,077,996","272,329,444","162,684,903","159,123,941"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 Score,"166,440,800","166,373,000","490,000,200","486,521,599","166,014,700","166,057,700","304,217,300","304,858,000","166,827,200","166,324,500","165,772,800","166,679,500","166,475,700","165,606,300","166,684,700","166,509,300","304,343,200","304,535,400","166,531,400","166,160,800",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score holder,@bazraeth,@nando9362,@pat7res,@unseer,@edo_tensi,@kocejam,@nando9362,@edo_tensi,@myste4024,@kimetsyaiba,@kayers.j,@jeweet1791,@kocejam,@kocejam,@9chrispy6,@kocejam,@skyx222,@kocejam,@skyx222,@kocejam,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score,"166,158,400","166,357,400","484,175,600","482,394,800","166,005,200","165,329,800","304,026,100","304,330,300","166,804,700","165,967,800","165,729,600","166,645,800","166,471,300","165,569,600","166,589,900","165,953,000","304,054,000","302,711,300","166,484,900","166,012,300",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score holder,@shidekix,@kimetsyaiba,@kocejam,@jtcal,@kocejam,@edo_tensi,@shidekix,@marcodcorrea,@kocejam,@jtcal,@kocejam(44),@kocejam,@skyx222,@edo_tensi,@edo_tensi,@nando9362,@kocejam(44),@unseer,@pat7res,@nando9362,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score,"166,040,400","166,304,700","484,029,399","481,858,200","165,939,700","165,134,500","303,501,400","304,260,100","166,746,900","165,372,300","165,477,700","166,569,500","166,149,100","165,476,200","166,454,400","165,604,200","303,939,400","302,366,200","166,377,600","165,953,500",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score holder,@kimetsyaiba,@kocejam,@nawt0k,@xenoam,@kayers.j,@nando9362,@ns_yozora,@kocejam(44),@pat7res,@jeweet1791,@kocejam,@skyx222,@shidekix,@kimetsyaiba,@kimetsyaiba,@jtcal,@kimetsyaiba,@jeweet1791,@nando9362,@kocejam(44),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score,"165,770,300","166,261,300","483,566,200","481,593,800","165,626,100","165,074,600","303,389,300","304,257,600","166,642,200","164,955,599","165,415,900","166,505,000","166,023,200","165,047,300","166,440,900","165,212,800","303,736,900","302,177,700","166,335,300","165,858,400",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score holder,@9chrispy6,@9chrispy6,@ajalt,@pat7res,@ns_yozora,@kimetsyaiba,@blackbirdo,@kaedon225,@unseer,@nando9362,@myste4024,@nando9362,@nando9362,@kayers.j,@kocejam,@kaedon225,@nando9362,@pat7res,@marcodcorrea,@skyx222,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score,"165,758,200","166,106,500","483,563,199","481,565,200","165,564,200","165,035,100","303,274,400","304,213,700","166,626,400","164,953,300","165,289,900","166,495,800","165,942,700","164,855,599","166,403,100","165,194,400","303,647,200","301,993,000","166,281,800","165,440,699",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Posting stats,,Announcements post,info for ranked individual stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chart of avg score + best score + who got best / phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GQ screen posts,"graph with each member's scores, only post if public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
